i,j,k,x,y,z,f
0,0,0,0,0,0,6.63036e-07
0,0,1,0,0,0.19635,1.32811e-06
0,0,2,0,0,0.392699,1.91179e-06
0,0,3,0,0,0.589049,2.38709e-06
0,0,4,0,0,0.785398,2.74774e-06
0,0,5,0,0,0.981748,3.00282e-06
0,0,6,0,0,1.1781,3.171e-06
0,0,7,0,0,1.37445,3.27433e-06
0,0,8,0,0,1.5708,3.33349e-06
0,0,9,0,0,1.76715,3.36503e-06
0,0,10,0,0,1.9635,3.38069e-06
0,0,11,0,0,2.15984,3.38792e-06
0,0,12,0,0,2.35619,3.39101e-06
0,0,13,0,0,2.55254,3.39224e-06
0,0,14,0,0,2.74889,3.39269e-06
0,0,15,0,0,2.94524,3.39283e-06
0,0,16,0,0,3.14159,3.39283e-06
0,0,17,0,0,3.33794,3.39269e-06
0,0,18,0,0,3.53429,3.39224e-06
0,0,19,0,0,3.73064,3.39101e-06
0,0,20,0,0,3.92699,3.38792e-06
0,0,21,0,0,4.12334,3.38069e-06
0,0,22,0,0,4.31969,3.36503e-06
0,0,23,0,0,4.51604,3.33349e-06
0,0,24,0,0,4.71239,3.27433e-06
0,0,25,0,0,4.90874,3.171e-06
0,0,26,0,0,5.10509,3.00282e-06
0,0,27,0,0,5.30144,2.74774e-06
0,0,28,0,0,5.49779,2.38709e-06
0,0,29,0,0,5.69414,1.91179e-06
0,0,30,0,0,5.89049,1.32811e-06
0,0,31,0,0,6.08684,6.63036e-07
0,1,0,0,0.19635,0,1.56246e-06
0,1,1,0,0.19635,0.19635,3.12977e-06
0,1,2,0,0.19635,0.392699,4.50532e-06
0,1,3,0,0.19635,0.589049,5.62552e-06
0,1,4,0,0.19635,0.785398,6.4756e-06
0,1,5,0,0.19635,0.981748,7.07692e-06
0,1,6,0,0.19635,1.1781,7.47341e-06
0,1,7,0,0.19635,1.37445,7.71708e-06
0,1,8,0,0.19635,1.5708,7.8566e-06
0,1,9,0,0.19635,1.76715,7.93102e-06
0,1,10,0,0.19635,1.9635,7.96796e-06
0,1,11,0,0.19635,2.15984,7.98502e-06
0,1,12,0,0.19635,2.35619,7.99233e-06
0,1,13,0,0.19635,2.55254,7.99523e-06
0,1,14,0,0.19635,2.74889,7.99629e-06
0,1,15,0,0.19635,2.94524,7.99662e-06
0,1,16,0,0.19635,3.14159,7.99662e-06
0,1,17,0,0.19635,3.33794,7.99629e-06
0,1,18,0,0.19635,3.53429,7.99523e-06
0,1,19,0,0.19635,3.73064,7.99233e-06
0,1,20,0,0.19635,3.92699,7.98502e-06
0,1,21,0,0.19635,4.12334,7.96796e-06
0,1,22,0,0.19635,4.31969,7.93102e-06
0,1,23,0,0.19635,4.51604,7.8566e-06
0,1,24,0,0.19635,4.71239,7.71708e-06
0,1,25,0,0.19635,4.90874,7.47341e-06
0,1,26,0,0.19635,5.10509,7.07692e-06
0,1,27,0,0.19635,5.30144,6.4756e-06
0,1,28,0,0.19635,5.49779,5.62552e-06
0,1,29,0,0.19635,5.69414,4.50532e-06
0,1,30,0,0.19635,5.89049,3.12977e-06
0,1,31,0,0.19635,6.08684,1.56246e-06
0,2,0,0,0.392699,0,2.87288e-06
0,2,1,0,0.392699,0.19635,5.75476e-06
0,2,2,0,0.392699,0.392699,8.28421e-06
0,2,3,0,0.392699,0.589049,1.03443e-05
0,2,4,0,0.392699,0.785398,1.19078e-05
0,2,5,0,0.392699,0.981748,1.3014e-05
0,2,6,0,0.392699,1.1781,1.37435e-05
0,2,7,0,0.392699,1.37445,1.4192e-05
0,2,8,0,0.392699,1.5708,1.44488e-05
0,2,9,0,0.392699,1.76715,1.45858e-05
0,2,10,0,0.392699,1.9635,1.46539e-05
0,2,11,0,0.392699,2.15984,1.46853e-05
0,2,12,0,0.392699,2.35619,1.46988e-05
0,2,13,0,0.392699,2.55254,1.47041e-05
0,2,14,0,0.392699,2.74889,1.47061e-05
0,2,15,0,0.392699,2.94524,1.47067e-05
0,2,16,0,0.392699,3.14159,1.47067e-05
0,2,17,0,0.392699,3.33794,1.47061e-05
0,2,18,0,0.392699,3.53429,1.47041e-05
0,2,19,0,0.392699,3.73064,1.46988e-05
0,2,20,0,0.392699,3.92699,1.46853e-05
0,2,21,0,0.392699,4.12334,1.46539e-05
0,2,22,0,0.392699,4.31969,1.45858e-05
0,2,23,0,0.392699,4.51604,1.44488e-05
0,2,24,0,0.392699,4.71239,1.4192e-05
0,2,25,0,0.392699,4.90874,1.37435e-05
0,2,26,0,0.392699,5.10509,1.3014e-05
0,2,27,0,0.392699,5.30144,1.19078e-05
0,2,28,0,0.392699,5.49779,1.03443e-05
0,2,29,0,0.392699,5.69414,8.28421e-06
0,2,30,0,0.392699,5.89049,5.75476e-06
0,2,31,0,0.392699,6.08684,2.87288e-06
0,3,0,0,0.589049,0,4.84397e-06
0,3,1,0,0.589049,0.19635,9.7033e-06
0,3,2,0,0.589049,0.392699,1.39687e-05
0,3,3,0,0.589049,0.589049,1.7443e-05
0,3,4,0,0.589049,0.785398,2.00802e-05
0,3,5,0,0.589049,0.981748,2.19463e-05
0,3,6,0,0.589049,1.1781,2.31773e-05
0,3,7,0,0.589049,1.37445,2.39341e-05
0,3,8,0,0.589049,1.5708,2.43677e-05
0,3,9,0,0.589049,1.76715,2.45991e-05
0,3,10,0,0.589049,1.9635,2.47141e-05
0,3,11,0,0.589049,2.15984,2.47672e-05
0,3,12,0,0.589049,2.35619,2.479e-05
0,3,13,0,0.589049,2.55254,2.4799e-05
0,3,14,0,0.589049,2.74889,2.48023e-05
0,3,15,0,0.589049,2.94524,2.48034e-05
0,3,16,0,0.589049,3.14159,2.48034e-05
0,3,17,0,0.589049,3.33794,2.48023e-05
0,3,18,0,0.589049,3.53429,2.4799e-05
0,3,19,0,0.589049,3.73064,2.479e-05
0,3,20,0,0.589049,3.92699,2.47672e-05
0,3,21,0,0.589049,4.12334,2.47141e-05
0,3,22,0,0.589049,4.31969,2.45991e-05
0,3,23,0,0.589049,4.51604,2.43677e-05
0,3,24,0,0.589049,4.71239,2.39341e-05
0,3,25,0,0.589049,4.90874,2.31773e-05
0,3,26,0,0.589049,5.10509,2.19463e-05
0,3,27,0,0.589049,5.30144,2.00802e-05
0,3,28,0,0.589049,5.49779,1.7443e-05
0,3,29,0,0.589049,5.69414,1.39687e-05
0,3,30,0,0.589049,5.89049,9.7033e-06
0,3,31,0,0.589049,6.08684,4.84397e-06
0,4,0,0,0.785398,0,7.76387e-06
0,4,1,0,0.785398,0.19635,1.55526e-05
0,4,2,0,0.785398,0.392699,2.23898e-05
0,4,3,0,0.785398,0.589049,2.79596e-05
0,4,4,0,0.785398,0.785398,3.2188e-05
0,4,5,0,0.785398,0.981748,3.51806e-05
0,4,6,0,0.785398,1.1781,3.7155e-05
0,4,7,0,0.785398,1.37445,3.83693e-05
0,4,8,0,0.785398,1.5708,3.90652e-05
0,4,9,0,0.785398,1.76715,3.94367e-05
0,4,10,0,0.785398,1.9635,3.96213e-05
0,4,11,0,0.785398,2.15984,3.97066e-05
0,4,12,0,0.785398,2.35619,3.97432e-05
0,4,13,0,0.785398,2.55254,3.97578e-05
0,4,14,0,0.785398,2.74889,3.97631e-05
0,4,15,0,0.785398,2.94524,3.97648e-05
0,4,16,0,0.785398,3.14159,3.97648e-05
0,4,17,0,0.785398,3.33794,3.97631e-05
0,4,18,0,0.785398,3.53429,3.97578e-05
0,4,19,0,0.785398,3.73064,3.97432e-05
0,4,20,0,0.785398,3.92699,3.97066e-05
0,4,21,0,0.785398,4.12334,3.96213e-05
0,4,22,0,0.785398,4.31969,3.94367e-05
0,4,23,0,0.785398,4.51604,3.90652e-05
0,4,24,0,0.785398,4.71239,3.83693e-05
0,4,25,0,0.785398,4.90874,3.7155e-05
0,4,26,0,0.785398,5.10509,3.51806e-05
0,4,27,0,0.785398,5.30144,3.2188e-05
0,4,28,0,0.785398,5.49779,2.79596e-05
0,4,29,0,0.785398,5.69414,2.23898e-05
0,4,30,0,0.785398,5.89049,1.55526e-05
0,4,31,0,0.785398,6.08684,7.76387e-06
0,5,0,0,0.981748,0,1.19425e-05
0,5,1,0,0.981748,0.19635,2.39238e-05
0,5,2,0,0.981748,0.392699,3.4442e-05
0,5,3,0,0.981748,0.589049,4.30112e-05
0,5,4,0,0.981748,0.785398,4.95176e-05
0,5,5,0,0.981748,0.981748,5.41232e-05
0,5,6,0,0.981748,1.1781,5.71625e-05
0,5,7,0,0.981748,1.37445,5.90321e-05
0,5,8,0,0.981748,1.5708,6.01038e-05
0,5,9,0,0.981748,1.76715,6.06761e-05
0,5,10,0,0.981748,1.9635,6.09606e-05
0,5,11,0,0.981748,2.15984,6.10921e-05
0,5,12,0,0.981748,2.35619,6.11486e-05
0,5,13,0,0.981748,2.55254,6.11711e-05
0,5,14,0,0.981748,2.74889,6.11793e-05
0,5,15,0,0.981748,2.94524,6.11818e-05
0,5,16,0,0.981748,3.14159,6.11818e-05
0,5,17,0,0.981748,3.33794,6.11793e-05
0,5,18,0,0.981748,3.53429,6.11711e-05
0,5,19,0,0.981748,3.73064,6.11486e-05
0,5,20,0,0.981748,3.92699,6.10921e-05
0,5,21,0,0.981748,4.12334,6.09606e-05
0,5,22,0,0.981748,4.31969,6.06761e-05
0,5,23,0,0.981748,4.51604,6.01038e-05
0,5,24,0,0.981748,4.71239,5.90321e-05
0,5,25,0,0.981748,4.90874,5.71625e-05
0,5,26,0,0.981748,5.10509,5.41232e-05
0,5,27,0,0.981748,5.30144,4.95176e-05
0,5,28,0,0.981748,5.49779,4.30112e-05
0,5,29,0,0.981748,5.69414,3.4442e-05
0,5,30,0,0.981748,5.89049,2.39238e-05
0,5,31,0,0.981748,6.08684,1.19425e-05
0,6,0,0,1.1781,0,1.76775e-05
0,6,1,0,1.1781,0.19635,3.54127e-05
0,6,2,0,1.1781,0.392699,5.09833e-05
0,6,3,0,1.1781,0.589049,6.36698e-05
0,6,4,0,1.1781,0.785398,7.33037e-05
0,6,5,0,1.1781,0.981748,8.01242e-05
0,6,6,0,1.1781,1.1781,8.46259e-05
0,6,7,0,1.1781,1.37445,8.73957e-05
0,6,8,0,1.1781,1.5708,8.89839e-05
0,6,9,0,1.1781,1.76715,8.98322e-05
0,6,10,0,1.1781,1.9635,9.0254e-05
0,6,11,0,1.1781,2.15984,9.04491e-05
0,6,12,0,1.1781,2.35619,9.05329e-05
0,6,13,0,1.1781,2.55254,9.05663e-05
0,6,14,0,1.1781,2.74889,9.05785e-05
0,6,15,0,1.1781,2.94524,9.05823e-05
0,6,16,0,1.1781,3.14159,9.05823e-05
0,6,17,0,1.1781,3.33794,9.05785e-05
0,6,18,0,1.1781,3.53429,9.05663e-05
0,6,19,0,1.1781,3.73064,9.05329e-05
0,6,20,0,1.1781,3.92699,9.04491e-05
0,6,21,0,1.1781,4.12334,9.0254e-05
0,6,22,0,1.1781,4.31969,8.98322e-05
0,6,23,0,1.1781,4.51604,8.89839e-05
0,6,24,0,1.1781,4.71239,8.73957e-05
0,6,25,0,1.1781,4.90874,8.46259e-05
0,6,26,0,1.1781,5.10509,8.01242e-05
0,6,27,0,1.1781,5.30144,7.33037e-05
0,6,28,0,1.1781,5.49779,6.36698e-05
0,6,29,0,1.1781,5.69414,5.09833e-05
0,6,30,0,1.1781,5.89049,3.54127e-05
0,6,31,0,1.1781,6.08684,1.76775e-05
0,7,0,0,1.37445,0,2.5199e-05
0,7,1,0,1.37445,0.19635,5.04811e-05
0,7,2,0,1.37445,0.392699,7.26786e-05
0,7,3,0,1.37445,0.589049,9.07663e-05
0,7,4,0,1.37445,0.785398,0.000104503
0,7,5,0,1.37445,0.981748,0.00011423
0,7,6,0,1.37445,1.1781,0.000120651
0,7,7,0,1.37445,1.37445,0.000124602
0,7,8,0,1.37445,1.5708,0.000126869
0,7,9,0,1.37445,1.76715,0.000128079
0,7,10,0,1.37445,1.9635,0.000128682
0,7,11,0,1.37445,2.15984,0.00012896
0,7,12,0,1.37445,2.35619,0.00012908
0,7,13,0,1.37445,2.55254,0.000129128
0,7,14,0,1.37445,2.74889,0.000129145
0,7,15,0,1.37445,2.94524,0.00012915
0,7,16,0,1.37445,3.14159,0.00012915
0,7,17,0,1.37445,3.33794,0.000129145
0,7,18,0,1.37445,3.53429,0.000129128
0,7,19,0,1.37445,3.73064,0.00012908
0,7,20,0,1.37445,3.92699,0.00012896
0,7,21,0,1.37445,4.12334,0.000128682
0,7,22,0,1.37445,4.31969,0.000128079
0,7,23,0,1.37445,4.51604,0.000126869
0,7,24,0,1.37445,4.71239,0.000124602
0,7,25,0,1.37445,4.90874,0.000120651
0,7,26,0,1.37445,5.10509,0.00011423
0,7,27,0,1.37445,5.30144,0.000104503
0,7,28,0,1.37445,5.49779,9.07663e-05
0,7,29,0,1.37445,5.69414,7.26786e-05
0,7,30,0,1.37445,5.89049,5.04811e-05
0,7,31,0,1.37445,6.08684,2.5199e-05
0,8,0,0,1.5708,0,3.46011e-05
0,8,1,0,1.5708,0.19635,6.93171e-05
0,8,2,0,1.5708,0.392699,9.97992e-05
0,8,3,0,1.5708,0.589049,0.000124639
0,8,4,0,1.5708,0.785398,0.000143506
0,8,5,0,1.5708,0.981748,0.000156867
0,8,6,0,1.5708,1.1781,0.000165689
0,8,7,0,1.5708,1.37445,0.000171119
0,8,8,0,1.5708,1.5708,0.000174233
0,8,9,0,1.5708,1.76715,0.000175898
0,8,10,0,1.5708,1.9635,0.000176726
0,8,11,0,1.5708,2.15984,0.000177109
0,8,12,0,1.5708,2.35619,0.000177274
0,8,13,0,1.5708,2.55254,0.000177339
0,8,14,0,1.5708,2.74889,0.000177364
0,8,15,0,1.5708,2.94524,0.000177371
0,8,16,0,1.5708,3.14159,0.000177371
0,8,17,0,1.5708,3.33794,0.000177364
0,8,18,0,1.5708,3.53429,0.000177339
0,8,19,0,1.5708,3.73064,0.000177274
0,8,20,0,1.5708,3.92699,0.000177109
0,8,21,0,1.5708,4.12334,0.000176726
0,8,22,0,1.5708,4.31969,0.000175898
0,8,23,0,1.5708,4.51604,0.000174233
0,8,24,0,1.5708,4.71239,0.000171119
0,8,25,0,1.5708,4.90874,0.000165689
0,8,26,0,1.5708,5.10509,0.000156867
0,8,27,0,1.5708,5.30144,0.000143506
0,8,28,0,1.5708,5.49779,0.000124639
0,8,29,0,1.5708,5.69414,9.97992e-05
0,8,30,0,1.5708,5.89049,6.93171e-05
0,8,31,0,1.5708,6.08684,3.46011e-05
0,9,0,0,1.76715,0,4.57692e-05
0,9,1,0,1.76715,0.19635,9.16915e-05
0,9,2,0,1.76715,0.392699,0.000132015
0,9,3,0,1.76715,0.589049,0.000164877
0,9,4,0,1.76715,0.785398,0.00018984
0,9,5,0,1.76715,0.981748,0.000207519
0,9,6,0,1.76715,1.1781,0.000219193
0,9,7,0,1.76715,1.37445,0.00022638
0,9,8,0,1.76715,1.5708,0.000230503
0,9,9,0,1.76715,1.76715,0.000232707
0,9,10,0,1.76715,1.9635,0.000233804
0,9,11,0,1.76715,2.15984,0.000234312
0,9,12,0,1.76715,2.35619,0.00023453
0,9,13,0,1.76715,2.55254,0.000234617
0,9,14,0,1.76715,2.74889,0.000234649
0,9,15,0,1.76715,2.94524,0.000234659
0,9,16,0,1.76715,3.14159,0.000234659
0,9,17,0,1.76715,3.33794,0.000234649
0,9,18,0,1.76715,3.53429,0.000234617
0,9,19,0,1.76715,3.73064,0.00023453
0,9,20,0,1.76715,3.92699,0.000234312
0,9,21,0,1.76715,4.12334,0.000233804
0,9,22,0,1.76715,4.31969,0.000232707
0,9,23,0,1.76715,4.51604,0.000230503
0,9,24,0,1.76715,4.71239,0.00022638
0,9,25,0,1.76715,4.90874,0.000219193
0,9,26,0,1.76715,5.10509,0.000207519
0,9,27,0,1.76715,5.30144,0.00018984
0,9,28,0,1.76715,5.49779,0.000164877
0,9,29,0,1.76715,5.69414,0.000132015
0,9,30,0,1.76715,5.89049,9.16915e-05
0,9,31,0,1.76715,6.08684,4.57692e-05
0,10,0,0,1.9635,0,5.8324e-05
0,10,1,0,1.9635,0.19635,0.000116844
0,10,2,0,1.9635,0.392699,0.000168232
0,10,3,0,1.9635,0.589049,0.000210113
0,10,4,0,1.9635,0.785398,0.000241929
0,10,5,0,1.9635,0.981748,0.000264465
0,10,6,0,1.9635,1.1781,0.000279348
0,10,7,0,1.9635,1.37445,0.000288511
0,10,8,0,1.9635,1.5708,0.000293769
0,10,9,0,1.9635,1.76715,0.00029658
0,10,10,0,1.9635,1.9635,0.000297979
0,10,11,0,1.9635,2.15984,0.000298627
0,10,12,0,1.9635,2.35619,0.000298906
0,10,13,0,1.9635,2.55254,0.000299017
